epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,252.87,1.12614,0.72228,0.00659,0.80157,0.64761,0.69884,0.45832,1.35528,0.75089,0.01154,0.000396265,0.000396265,0.000396265
43,258.716,1.12692,0.7097,0.00659,0.81294,0.67132,0.71273,0.46887,1.34538,0.76532,0.01139,0.000389661,0.000389661,0.000389661
44,264.55,1.12461,0.7153,0.00651,0.798,0.6373,0.70362,0.45787,1.34172,0.74232,0.01134,0.000383058,0.000383058,0.000383058
45,270.479,1.09613,0.69403,0.0063,0.81023,0.62633,0.70629,0.46354,1.35215,0.75944,0.01152,0.000376455,0.000376455,0.000376455
46,276.5,1.10872,0.68495,0.00658,0.7817,0.66119,0.70404,0.46324,1.34767,0.74344,0.01142,0.000369851,0.000369851,0.000369851
47,282.477,1.10778,0.68187,0.00643,0.78432,0.64072,0.69844,0.45769,1.34883,0.7701,0.01139,0.000363248,0.000363248,0.000363248
48,288.367,1.09938,0.68078,0.0064,0.79552,0.63511,0.69741,0.45466,1.3597,0.76608,0.0114,0.000356645,0.000356645,0.000356645
49,294.267,1.10103,0.67682,0.00638,0.78569,0.66818,0.70492,0.46059,1.34784,0.73765,0.0114,0.000350042,0.000350042,0.000350042
50,300.273,1.11643,0.6744,0.00644,0.80958,0.66037,0.70653,0.46103,1.34866,0.74802,0.01141,0.000343438,0.000343438,0.000343438
51,306.125,1.10477,0.64514,0.0064,0.81707,0.63423,0.7056,0.46355,1.35583,0.73158,0.01159,0.000336835,0.000336835,0.000336835
52,312.028,1.09036,0.66172,0.00635,0.79941,0.66094,0.7052,0.46003,1.35665,0.76956,0.01157,0.000330232,0.000330232,0.000330232
53,317.901,1.10007,0.63896,0.00642,0.7979,0.68608,0.71127,0.46176,1.3427,0.74243,0.01137,0.000323628,0.000323628,0.000323628
